epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6186.74,0.97388,0.63419,1.01696,0.76375,0.69123,0.73043,0.47364,1.26669,0.95145,1.2276,0.00826884,0.00826884,0.00826884
43,6333.41,0.96998,0.61674,1.01221,0.78907,0.67541,0.74459,0.4849,1.25766,0.93723,1.22088,0.00818893,0.00818893,0.00818893
44,6480.71,0.97823,0.61281,1.01041,0.75823,0.67906,0.73336,0.47328,1.25339,0.98409,1.20161,0.00810763,0.00810763,0.00810763
45,6627.52,0.95097,0.60312,1.00518,0.75312,0.7022,0.73342,0.47687,1.26964,1.02697,1.22174,0.00802497,0.00802497,0.00802497
46,6774.3,0.95505,0.6023,1.00668,0.75725,0.69003,0.72272,0.4666,1.26816,1.03223,1.23166,0.00794099,0.00794099,0.00794099
47,6921.23,0.95088,0.5986,1.00771,0.75954,0.6793,0.73323,0.47831,1.29071,1.01192,1.24344,0.00785571,0.00785571,0.00785571
48,7067.97,0.95786,0.59732,1.0085,0.73831,0.71347,0.72773,0.47141,1.2727,1.01842,1.23237,0.00776919,0.00776919,0.00776919
49,7214.82,0.9587,0.60416,1.00896,0.72943,0.73555,0.73253,0.47627,1.25088,0.94583,1.2075,0.00768145,0.00768145,0.00768145
50,7361.64,0.93766,0.58759,1.00044,0.75107,0.71326,0.73106,0.47605,1.26295,1.00606,1.21383,0.00759254,0.00759254,0.00759254
51,7508.29,0.93192,0.57961,0.99879,0.75481,0.70054,0.72949,0.47574,1.27382,1.04835,1.22609,0.0075025,0.0075025,0.0075025
52,7655.97,0.92457,0.57459,0.99707,0.72818,0.70972,0.72485,0.47837,1.27803,1.00995,1.24494,0.00741136,0.00741136,0.00741136
53,7802.6,0.9216,0.56971,0.98948,0.7562,0.65436,0.71738,0.46982,1.25873,1.01892,1.23842,0.00731916,0.00731916,0.00731916
54,7949.13,0.90913,0.56315,0.99266,0.74891,0.66996,0.72534,0.47351,1.26014,1.05864,1.21753,0.00722595,0.00722595,0.00722595
55,8095.82,0.90659,0.55791,0.99013,0.73184,0.70541,0.7307,0.47785,1.26129,1.01942,1.21822,0.00713177,0.00713177,0.00713177
56,8242.75,0.90153,0.56008,0.98182,0.7481,0.70658,0.74059,0.49159,1.27439,0.96473,1.22608,0.00703665,0.00703665,0.00703665
57,8390.18,0.88953,0.54822,0.97565,0.75455,0.69131,0.73258,0.48215,1.2535,1.00976,1.21264,0.00694064,0.00694064,0.00694064
58,8537.07,0.905,0.54955,0.98277,0.74673,0.70522,0.73421,0.48251,1.24993,0.98953,1.20638,0.00684378,0.00684378,0.00684378
59,8683.91,0.87961,0.53453,0.96973,0.7569,0.68949,0.72571,0.4768,1.24434,1.04791,1.20393,0.00674612,0.00674612,0.00674612
60,8830.6,0.87912,0.52933,0.97249,0.77079,0.67187,0.72507,0.4799,1.25411,1.0636,1.21467,0.00664769,0.00664769,0.00664769
61,8977.54,0.88081,0.5339,0.97641,0.74566,0.72456,0.73661,0.48373,1.25346,1.00279,1.21725,0.00654854,0.00654854,0.00654854
62,9125.53,0.8747,0.53385,0.97473,0.72097,0.72432,0.72261,0.47735,1.27244,1.00653,1.22894,0.00644871,0.00644871,0.00644871
63,9272.58,0.86338,0.52357,0.97147,0.74002,0.68876,0.73656,0.48884,1.22927,1.05887,1.19281,0.00634825,0.00634825,0.00634825
64,9419.48,0.84826,0.51657,0.96672,0.73752,0.70168,0.72173,0.47851,1.26399,1.03861,1.23652,0.00624721,0.00624721,0.00624721
65,9566.35,0.86147,0.5156,0.96829,0.77195,0.66291,0.72341,0.48055,1.2492,1.06155,1.22656,0.00614561,0.00614561,0.00614561
66,9713.37,0.85581,0.51725,0.96526,0.78136,0.6561,0.7301,0.47879,1.25735,1.06069,1.22247,0.00604352,0.00604352,0.00604352
67,9860.09,0.85222,0.50672,0.96501,0.74349,0.68787,0.72121,0.47753,1.24678,1.06254,1.22819,0.00594097,0.00594097,0.00594097
68,10006.7,0.83894,0.49874,0.96288,0.7624,0.66624,0.7178,0.47857,1.26641,1.03356,1.24926,0.00583801,0.00583801,0.00583801
69,10153.5,0.83304,0.49505,0.96367,0.76112,0.67986,0.71874,0.47347,1.24654,1.05373,1.22876,0.00573468,0.00573468,0.00573468
70,10300.3,0.83376,0.49979,0.96037,0.73819,0.69718,0.736,0.49487,1.25209,1.03952,1.24154,0.00563104,0.00563104,0.00563104
71,10447.5,0.82789,0.48728,0.95927,0.73325,0.68138,0.71511,0.4758,1.23982,1.0852,1.21477,0.00552712,0.00552712,0.00552712
72,10595.6,0.8212,0.48627,0.95597,0.75832,0.68404,0.73372,0.4866,1.24653,1.05442,1.23583,0.00542297,0.00542297,0.00542297
73,10742.4,0.82205,0.49052,0.95379,0.76816,0.69297,0.7299,0.48123,1.25144,1.03162,1.22851,0.00531864,0.00531864,0.00531864
74,10889.2,0.81114,0.47273,0.94629,0.75528,0.69076,0.72967,0.4814,1.2396,1.05874,1.22026,0.00521417,0.00521417,0.00521417
75,11036,0.80631,0.46971,0.94566,0.77953,0.68133,0.7315,0.48413,1.24722,1.08378,1.21324,0.00510961,0.00510961,0.00510961
76,11182.8,0.80016,0.46823,0.94486,0.75248,0.67164,0.72027,0.4748,1.24685,1.13453,1.21617,0.005005,0.005005,0.005005
77,11329.6,0.81816,0.47353,0.94617,0.73456,0.69348,0.71184,0.46928,1.23843,1.12986,1.20948,0.00490039,0.00490039,0.00490039
78,11476.2,0.80159,0.46632,0.94368,0.78822,0.65011,0.71626,0.48312,1.26978,1.16324,1.24209,0.00479583,0.00479583,0.00479583
79,11622.7,0.79327,0.45965,0.94561,0.7321,0.67387,0.7025,0.46376,1.26935,1.19446,1.24889,0.00469136,0.00469136,0.00469136
